Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Aufgekuriboh ,Relinkuriboh,Monster,Effekt,Finsternis,Unterweltler,1,300,200,1
Kuribohrn ,Kuribohrn,Monster,Effekt,Licht,Unterweltler,1,300,200,1
Kuriphoton,Kuriphoton,Monster,Effekt,Licht,Unterweltler,1,300,200,1
Galaxieaugen-Photonendrache,Galaxy-Eyes Photon Dragon,Monster,Effekt,Licht,Drache,8,3000,2500,1
Cyber Drache ,Cyber Dragon,Monster,Effekt,Licht,Maschine,5,2100,1600,3
"Lyla, Zwielichtverpflichtete Verzauberin","Lyla, Twilightsworn Enchantress",Monster,Effekt,Finsternis,Hexer,4,1700,200,3
Großer Kern,Big Core,Monster,Effekt,Finsternis,Maschine,6,2300,1100,1
B.E.S. Kristallkern ,B.E.S. Crystal Core,Monster,Effekt,Wasser,Maschine,5,2100,1000,1
B.E.S. Tetran,B.E.S. Tetran,Monster,Effekt,Wind,Maschine,6,1800,2300,1
Ultimativer Tyranno ,Ultimate Tyranno,Monster,Effekt,Erde,Dinosaurier,8,3000,2200,3
Neo-Weltraum Aqua Dolphin ,Neo-Spacian Aqua Dolphin,Monster,Effekt,Wasser,Krieger,3,600,800,1
Parasiten-Parazid ,Parasite Paracide,Monster,Effekt,Erde,Insekt,2,500,300,1
Vergnügungsbetreuerin Delia ,Amazement Assistant Delia,Monster,Effekt,Licht,Maschine,4,1800,1400,1
Albion der ummantelte Drache ,Albion the Shrouded Dragon,Monster,Effekt,Finsternis,Drache,8,2500,2000,7
Dinowrestler Iguanodraka ,Dinowrestler Iguanodraka,Monster,Effekt,Erde,Dinosaurier,6,2000,0,1
Chronomaler Magella-Globus ,Chronomaly Magella Globe,Monster,Effekt,Licht,Maschine,4,1500,300,3
Cyberfinsternis Horn ,Cyberdark Horn,Monster,Effekt,Finsternis,Maschine,4,800,800,1
Despianische Komödie ,Despian Comedy,Monster,Effekt,Finsternis,Fee,1,0,2000,2
"Gizmek Inaba, der hoppelnde Hase von Hakuto","Gizmek Inaba, the Hopping Hare of Hakuto",Monster,Effekt,Wind,Maschine,1,50,50,3
Herr der Drachen ,Lord of D.,Monster,Effekt,Finsternis,Hexer,4,1200,1100,2
Dododo-Krieger ,Dododo Warrior,Monster,Effekt,Erde,Krieger,6,2300,900,1
Nordischer Elf Svartalf ,Svartalf of the Nordic Alfar,Monster,Effekt,Finsternis,Hexer,5,1400,1600,1
Sterndeutender Magier ,Stargazer Magician,Monster,Pendel,Finsternis,Hexer,5,1200,2400,1
Zeitdeutender Magier ,Timegazer Magician,Monster,Pendel,Finsternis,Hexer,3,1200,600,1
Xyz-Wiederaufstieg ,Resurgam Xyz,Falle,Permanente Falle,-,-,-,-,-,6
Feuerböe der Sternenritter ,Starry Knight Blast,Falle,Normale Falle,-,-,-,-,-,2
Ankunft der Sternenritter ,Starry Knight Arrival,Falle,Permanente Falle,-,-,-,-,-,1
Straße zum Sternenlicht ,Starlight Road,Falle,Normale Falle,-,-,-,-,-,6
Abhören,Wiretap,Falle,Konterfalle,-,-,-,-,-,3
Taifun ,Typhoon,Falle,Normale Falle,-,-,-,-,-,3
Eisbarriere ,Ice Barrier,Falle,Normale Falle,-,-,-,-,-,6
Verbotene Apokryphen ,Forbidden Apocrypha,Falle,Normale Falle,-,-,-,-,-,3
Kozmojo ,Kozmojo ,Falle,Normale Falle,-,-,-,-,-,3
Priesterliches Siegel der Reflexion ,Hieratic Seal of Reflection,Falle,Konterfalle,-,-,-,-,-,1
A.I.-Show ,A.I.'s Show,Falle,Normale Falle,-,-,-,-,-,5
Horn des Phantomungeheuers ,Horn of the Phantom Beast,Falle,Normale Falle,-,-,-,-,-,1
Zeitdieb-Zurückdrehung ,Time Thief Retrograde,Falle,Konterfalle,-,-,-,-,-,1
Priesterliches Siegel der Verbannung ,Hieratic Seal of Banishment,Falle,Normale Falle,-,-,-,-,-,1
Metallfose-Konter ,Metalfoes Counter,Falle,Normale Falle,-,-,-,-,-,2
SPIORAL-AUSRÜSTUNG - Mehrzweckdraht ,SPYRAL GEAR - Utility Wire,Falle,Normale Falle,-,-,-,-,-,1
Therion-Cross ,Therion Cross,Falle,Normale Falle,-,-,-,-,-,1
Exoschwester-Rückanei ,Exosister Returnia,Falle,Normale Falle,-,-,-,-,-,1
Leerenfestmahl,Void Feast,Falle,Normale Falle,-,-,-,-,-,1
Dunkle Illusion ,Black Illusion,Falle,Normale Falle,-,-,-,-,-,2
Dunkler Magier des Chaos ,Dark Magician of Chaos,Monster,Effekt,Finsternis,Hexer,8,2800,2600,2
Gandora der Drache der Zerstörung ,Gandora the Dragon of Destruction,Monster,Effekt,Finsternis,Drache,8,0,0,2
Schweigsamer Magier LV8 ,Silent Magician LV8,Monster,Effekt,Licht,Hexer,8,3500,1000,3
Schweigsamer Magier LV4 ,Silent Magician LV4,Monster,Effekt,Licht,Hexer,4,1000,1000,3
Schweigsamer Schwertkämpfer LV7 ,Silent Swordsman LV7,Monster,Effekt,Licht,Krieger,7,2800,1000,3
Schweigsamer Schwertkämpfer LV5 ,Silent Swordsman LV5,Monster,Effekt,Licht,Krieger,5,2300,1000,3
Schweigsamer Schwertkämpfer LV3 ,Silent Swordsman LV3,Monster,Effekt,Licht,Krieger,3,1000,1000,3
Dunkles Magier-Mädchen ,Dark Magician Girl,Monster,Effekt,Finsternis,Hexer,6,2000,1700,7
Buster-Klingenkämpfer ,Buster Blader,Monster,Effekt,Erde,Krieger,7,2600,2300,6
Der Trickreiche ,The Tricky,Monster,Effekt,Wind,Hexer,5,2000,1200,3
Ritter des Buben ,Jack's Knight,Monster,Normal,Licht,Krieger,5,1900,1000,4
Ritterin der Königin ,Queen's Knight,Monster,Normal,Licht,Krieger,4,1500,1600,4
Ritter des Königs ,King's Knight,Monster,Effekt,Licht,Krieger,4,1600,1400,4
Grüner Apparat ,Green Gadget,Monster,Effekt,Erde,Maschine,4,1400,600,2
Roter Apparat ,Red Gadget,Monster,Effekt,Erde,Maschine,4,1300,1500,2
Gelber Apparat ,Yellow Gadget,Monster,Effekt,Erde,Maschine,4,1200,1200,2
Erfahrener Dunkler Magier ,Skilled Dark Magician,Monster,Effekt,Finsternis,Hexer,4,1900,1700,5
Erfahrener Weißer Magier ,Skilled White Magician,Monster,Effekt,Licht,Hexer,4,1700,1900,2
Schicksalsgrabung,Dig of Destiny,Falle,Normale Falle,-,-,-,-,-,1
Dimensionstrugbild ,Dimension Mirage,Falle,Permanente Falle,-,-,-,-,-,1
Vereinigung der kubischen Herrscher ,Unification of the Cubic Lords,Falle,Normale Falle,-,-,-,-,-,1
Verteidigung des Magiers ,Magicians' Defense,Falle,Permanente Falle,-,-,-,-,-,1
Heldengeist ,Hero Spirit,Falle,Normale Falle,-,-,-,-,-,1
Boden einer anderen Dimension ,Different Dimension Ground,Falle,Normale Falle,-,-,-,-,-,1
Turn ,Stall Turn,Falle,Konterfalle,-,-,-,-,-,2
Dimensionsbarriere ,Dimensional Barrier,Falle,Normale Falle,-,-,-,-,-,7
Königlicher Erlass ,Royal Decree,Falle,Permanente Falle,-,-,-,-,-,1
Antimagischer Duft ,Anti-Spell Fragrance,Falle,Permanente Falle,-,-,-,-,-,1
Es kann nur einen geben ,There Can Be Only One,Falle,Permanente Falle,-,-,-,-,-,6
Der eingefrorene Gott ,The Ice-Bound God,Falle,Normale Falle,-,-,-,-,-,1
Roter Neustart ,Red Reboot,Falle,Konterfalle,-,-,-,-,-,1
Feierlicher Schlag ,Solemn Strike,Falle,Konterfalle,-,-,-,-,-,1
Verschwundener Wind ,Lost Wind,Falle,Normale Falle,-,-,-,-,-,1
Greifenschwinge ,Gryphon Wing,Falle,Normale Falle,-,-,-,-,-,1
Clay Sturmangriff ,Clay Charge,Falle,Normale Falle,-,-,-,-,-,1
Xyz-Reflexion ,Xyz Reflect,Falle,Konterfalle,-,-,-,-,-,1
Schadenskondensator ,Damage Condenser,Falle,Normale Falle,-,-,-,-,-,3
Siegel der Bosheit ,Seal of Wickedness,Falle,Permanente Falle,-,-,-,-,-,1
Die Monarchen brechen hervor ,The Monarchs Erupt,Falle,Permanente Falle,-,-,-,-,-,2
Vampirübernahme ,Vampire Takeover,Falle,Normale Falle,-,-,-,-,-,2
Hexwerker-Meisterstück ,Witchcrafter Masterpiece,Falle,Normale Falle,-,-,-,-,-,2
Der geflügelte Drache von Ra ,The Winged Dragon of Ra,Monster,Effekt,Göttlich,Göttliches Ungeheuer,10,?,?,2
Obelisk der Peiniger,Obelisk the Tormentor,Monster,Effekt,Göttlich,Göttliches Ungeheuer,10,4000,4000,4
Slifer der Himmelsdrache ,Slifer the Sky Dragon,Monster,Effekt,Göttlich,Göttliches Ungeheuer,10,?,?,3
Kuriboh-Spielmarke,Kuriboh Token,Monster,Spielmarke,Finsternis,Unterweltler,1,300,200,1
Spielmarke,Token,Monster,Spielmarke,,,,,,8
Die Gloria aus Königs rechter Hand,Glory of the King's Hand,Promo,Promo-Karten,,,,,,5
Königreich der Duellanten,Duelist Kingdom,Promo,Promo-Karten,,,,,,5
Reise ins Königreich,Set Sail for The Kingdom,Promo,Promo-Karten,,,,,,5
Hungriger Burger ,Hungry Burger,Monster,Ritual,Finsternis,Krieger,6,2000,1850,1
Auftritt des Schwerts ,Performance of Sword,Monster,Ritual,Erde,Krieger,6,1950,1850,1
Paladin des Weißen Drachen ,Paladin of White Dragon,Monster,Ritual,Licht,Drache,4,1900,1200,1
Große Motte ,Great Moth,Monster,Effekt,Erde,Insekt,8,2600,2500,1
Kuscheltier Schaf ,Fluffal Sheep,Monster,Effekt,Erde,Fee,2,400,800,1
D/D-Nekroschleim ,D/D Necro Slime,Monster,Effekt,Finsternis,Unterweltler,1,300,300,1
Planierraupe des Untergangs,Doom Dozer,Monster,Effekt,Erde,Insekt,8,2800,2600,1
Cyber Laser Drache ,Cyber Laser Dragon,Monster,Effekt,Licht,Maschine,7,2400,1800,1
Majestätischer Mech - Ohka ,Majestic Mech - Ohka,Monster,Effekt,Licht,Fee,6,2400,1400,1
Ultimatives Insekt LV5 ,Ultimate Insect LV5,Monster,Effekt,Wind,Insekt,5,2300,900,1
"Brron, Verrückter König der Finsteren Welt ","Brron, Mad King of Dark World",Monster,Effekt,Finsternis,Unterweltler,4,1800,400,2
D.D.M. - Meister aus der anderen Dimension,D.D.M. - Different Dimension Master,Monster,Effekt,Licht,Hexer,5,1700,1500,1
Schatten-Leichenfledderer ,Shadow Ghoul,Monster,Effekt,Finsternis,Zombie,5,1600,1300,2
Sensenmann der Karten ,Reaper of the Cards,Monster,Effekt,Finsternis,Unterweltler,5,1380,1930,1
"Lunatite, Metallparasit ",Metallizing Parasite - Lunatite,Monster,Effekt,Wasser,Aqua,7,1000,500,1
Mystischer Schwertkämpfer LV2,Mystic Swordsman LV2,Monster,Effekt,Erde,Krieger,2,900,0,1
Cyber Barrier Drache ,Cyber Barrier Dragon,Monster,Effekt,Licht,Maschine,6,800,2800,1
Kleine Schimäre ,Little Chimera,Monster,Effekt,Feuer,Ungeheuer,2,600,550,2
Milus-Strahler ,Milus Radiant,Monster,Effekt,Erde,Ungeheuer,1,300,250,2
Baumfrosch,Treeborn Frog,Monster,Effekt,Wasser,Aqua,1,100,100,1
Superstarker Samurai Dieb ,Superheavy Samurai Thief,Monster,Effekt,Erde,Maschine,10,1000,1000,1
Photonencaesar ,Photon Caesar,Monster,Effekt,Licht,Krieger,8,2000,2800,2
Antiker Antriebsgolem ,Ancient Gear Golem,Monster,Effekt,Erde,Maschine,8,3000,3000,1
Legendärer Ritter Critias,Legendary Knight Critias,Monster,Effekt,Licht,Krieger,8,2800,1800,1
Legendärer Ritter Hermos ,Legendary Knight Hermos,Monster,Effekt,Licht,Krieger,8,2800,1800,1
Gefangene Unterweltlerkönigin ,Imprisoned Queen Archfiend,Monster,Effekt,Finsternis,Unterweltler,8,2600,1700,1
Böser HELD Malicious Edge ,Evil HERO Malicious Edge,Monster,Effekt,Erde,Unterweltler,7,2600,1800,1
Leviadrache - Daedalus ,Levia-Dragon - Daedalus,Monster,Effekt,Wasser,Seeschlange,7,2600,1500,2
Flammenoger ,Flame Ogre,Monster,Effekt,Feuer,Unterweltler,7,2400,1700,1
Manga Ryu-Ran,Manga Ryu-Ran,Monster,Effekt,Feuer,Drache,7,2200,2600,1
"Carpiponica, mystisches Ungeheuer des Waldes ","Carpiponica, Mystical Beast of the Forest",Monster,Effekt,Erde,Ungeheuer,7,1000,2600,4
Maju Garzett ,Maju Garzett ,Monster,Effekt,Finsternis,Unterweltler,7,?,0,1
Infernaler Entflammer ,Infernal Incinerator,Monster,Effekt,Feuer,Unterweltler,6,2800,1800,2
Mystisches Ungeheuer von Serket ,Mystical Beast of Serket,Monster,Effekt,Erde,Fee,6,2500,2000,1
Herbeigerufener Toon-Schädel ,Toon Summoned Skull,Monster,Effekt,Finsternis,Unterweltler,6,2500,1200,4
Roch aus dem Dunstschleiertal ,Roc from the Valley of Haze,Monster,Effekt,Wind,Geflügeltes Ungeheuer,6,2400,1400,2
Bitelon ,Bitelon,Monster,Effekt,Wasser,Reptil,6,2400,1000,1
Cyber Prima ,Cyber Prima ,Monster,Effekt,Licht,Krieger,6,2300,1600,1
Antike Antriebsgadjiltronschimäre ,Ancient Gear Gadjiltron Chimera,Monster,Effekt,Erde,Maschine,6,2300,1300,1
Dunkler Staubgeist ,Dark Dust Spirit,Monster,Effekt,Erde,Zombie,6,2200,1800,2
Heroischer Herausforderer - Kriegshammer ,Heroic Challenger - War Hammer,Monster,Effekt,Erde,Krieger,6,2100,1300,1
Überfallraptor - Wilder Geier ,Raidraptor - Wild Vulture,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,6,1600,2000,1
Gletscher Aqua Madoor ,Glacier Aqua Madoor,Monster,Effekt,Wasser,Hexer,6,1200,3000,3
Lichtstrahl-Madoor ,Lightray Madoor,Monster,Effekt,Licht,Hexer,6,1200,3000,1
Diplomann des Meisters,Master's Diploman,Monster,Effekt,Finsternis,Maschine,5,2000,2000,4
Ameisenfressender Ameisenbär ,Anteatereatingant,Monster,Effekt,Erde,Insekt,5,2000,500,1
Artefakt Chakram,Artifact Chakram,Monster,Effekt,Licht,Fee,5,1900,2000,1
Wächter von Tryce ,Guardian Tryce,Monster,Effekt,Licht,Donner,5,1900,1700,1
Cyber Oger ,Cyber Ogre,Monster,Effekt,Erde,Maschine,5,1900,1200,2
Des Frosch ,Des Frog,Monster,Effekt,Wasser,Aqua,5,1900,0,3
Chronomaler Moai ,Chronomaly Moai,Monster,Effekt,Erde,Fels,5,1800,1600,1
Superstarker Samurai Transporter ,Superheavy Samurai Transporter,Monster,Effekt,Erde,Maschine,5,1200,1800,1
Hade-Hane ,Hade-Hane ,Monster,Effekt,Erde,Ungeheuer,5,900,1000,1
Chronomale Acambaro-Figuren ,Chronomaly Acambaro Figures,Monster,Effekt,Erde,Fels,5,1000,1800,5
Sonnenwindjammer ,Solar Wind Jammer,Monster,Effekt,Licht,Maschine,5,800,2400,5
Edelmetall-Drache ,Rare Metal Dragon,Monster,Effekt,Finsternis,Drache,4,2400,1200,4
Toon-Goblin Angriffstrupp ,Toon Goblin Attack Force,Monster,Effekt,Erde,Krieger,4,2300,0,1
Jirai Gumo ,Jirai Gumo ,Monster,Effekt,Erde,Insekt,4,2200,100,2
ZW - Einhornspeer ,ZW - Unicorn Spear,Monster,Effekt,Licht,Ungeheuer,4,1900,0,1
Hiita mit ihrem Vertrauten ,Familiar-Possessed - Hiita,Monster,Effekt,Feuer,Hexer,4,1850,1500,4
Wynn mit ihrem Vertrauten,Familiar-Possessed - Wynn,Monster,Effekt,Wind,Hexer,4,1850,1500,4
Eria mit ihrem Vertrauten ,Familiar-Possessed - Eria,Monster,Effekt,Wasser,Hexer,4,1850,1500,5
Steamroid ,Steamroid,Monster,Effekt,Erde,Maschine,4,1800,1800,4
Regenerierende Mumie ,Regenerating Mummy,Monster,Effekt,Finsternis,Zombie,4,1800,1500,3
Der Wagen der Prophezeiung ,Charioteer of Prophecy,Monster,Effekt,Wind,Hexer,4,1800,1300,2
Reiner Kreuzritter ,Absolute Crusader,Monster,Effekt,Erde,Krieger,4,1800,1200,1
Dreizack-Krieger ,Trident Warrior,Monster,Effekt,Licht,Krieger,4,1800,1200,2
"Milla, die Zeitzauberin ",Milla the Temporal Magician,Monster,Effekt,Licht,Hexer,4,1800,1000,1
Oxygeddon ,Oxygeddon ,Monster,Effekt,Wind,Dinosaurier,4,1800,800,5
Hysterischer Elf ,Hysteric Fairy,Monster,Effekt,Licht,Fee,4,1800,500,1
Riesenbohrer ,Jumbo Drill,Monster,Effekt,Erde,Maschine,4,1800,100,1
Seepferd-Kaiser ,Kaiser Sea Horse,Monster,Effekt,Licht,Seeschlange,4,1700,1650,5
Außerirdischer Schleicher ,Alien Stealthbuster,Monster,Effekt,Licht,Reptil,4,1700,1500,6
Hammerhai ,Hammer Shark,Monster,Effekt,Wasser,Fisch,4,1700,1500,1
Falcos der Geflügelte Gelehrte ,Winged Sage Falcos,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1700,1200,1
Speerfisch-Soldat ,Spearfish Soldier,Monster,Effekt,Wind,Seeschlange,4,1700,1100,1
Link-Streamer ,Link Streamer ,Monster,Effekt,Licht,Cyberse,4,1600,1800,1
Außerirdischer Schädel ,Alien Skull,Monster,Effekt,Wind,Reptil,4,1600,1800,1
Großzügige Artemis ,Bountiful Artemis,Monster,Effekt,Licht,Fee,4,1600,1700,1
Drillroid ,Drillroid ,Monster,Effekt,Erde,Fee,4,1600,1600,3
"Beiige, Frontkämpfer der Finsteren Welt ","Beiige, Vanguard of Dark World",Monster,Effekt,Finsternis,Unterweltler,4,1600,1300,2
Feldkommandant Rahz ,Field-Commander Rahz,Monster,Effekt,Erde,Krieger,4,1600,1200,1
Heroischer Herausforderer - Spartaner ,Heroic Challenger - Spartan,Monster,Effekt,Erde,Krieger,4,1600,1000,1
Klingenritter ,Blade Knight,Monster,Effekt,Licht,Krieger,4,1600,1000,1
Kombokämpfer ,Combo Fighter,Monster,Effekt,Wind,Krieger,4,1600,800,1
Y-Drachenkopf ,Y-Dragon Head,Monster,Effekt,Licht,Maschine,4,1500,1600,1
Wirbelwind-Wunderkind ,Whirlwind Prodigy,Monster,Effekt,Wind,Fee,4,1500,1600,2
Bärtiger Anglerfisch ,Unshaven Angler,Monster,Effekt,Wasser,Fisch,4,1500,1600,2
Streichbuben Steinis ,Prank-Kids Rocksies,Monster,Effekt,Erde,Fels,4,1500,1500,1
Die Kraft der Prophezeiung ,Strength of Prophecy,Monster,Effekt,Feuer,Hexer,4,1500,1400,3
Z-Metallpanzer ,Z-Metal Tank,Monster,Effekt,Licht,Maschine,4,1500,1300,2
Elementarsaurus ,Element Saurus,Monster,Effekt,Finsternis,Dinosaurier,4,1500,1200,1
Doppelköpfiger Wolf ,Twin-Headed Wolf,Monster,Effekt,Finsternis,Unterweltler,4,1500,1000,1
Sonneneruptions-Drache,Solar Flare Dragon,Monster,Effekt,Feuer,Pyro,4,1500,1000,1
Tenkabito Shien ,Tenkabito Shien ,Monster,Effekt,Feuer,Pyro,4,1500,1000,1
Magidolce Butlerback ,Madolche Butlerusk,Monster,Effekt,Erde,Hexer,4,1500,800,1
Layard der Erlöser ,Layard the Liberator,Monster,Effekt,Licht,Fee,4,1400,1500,1
Toon-Jungfrau ,Toon Mermaid,Monster,Effekt,Wasser,Aqua,4,1400,1500,1
Riesenratte ,Giant Rat,Monster,Effekt,Erde,Ungeheuer,4,1400,1450,3
Cipher-Flügel ,Cipher Wing,Monster,Effekt,Licht,Maschine,4,1400,1200,1
Glänzender Elf ,Shining Angel,Monster,Effekt,Licht,Fee,4,1400,800,6
Getriebriauto ,Geargiaccelerator,Monster,Effekt,Erde,Maschine,4,1400,800,2
Kybernetischer Zyklop ,Cybernetic Cyclopean,Monster,Effekt,Erde,Ungeheuer-Krieger,4,1400,200,1
W-Flügelkatapult ,W-Wing Catapult,Monster,Effekt,Licht,Maschine,4,1300,1500,2
Chronomaler Goldjet ,Chronomaly Golden Jet,Monster,Effekt,Licht,Maschine,4,1300,1400,2
Jetroid ,Jetroid ,Monster,Effekt,Wind,Maschine,4,1200,1800,2
Patroid ,Patroid ,Monster,Effekt,Erde,Maschine,4,1200,1200,2
Siegesviper XX03 ,Victory Viper XX03,Monster,Effekt,Licht,Maschine,4,1200,1000,1
Rasender Vogel ,Speed Bird,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,1200,1000,1
Fushi No Tori ,Fushi No Tori,Monster,Effekt,Feuer,Geflügeltes Ungeheuer,4,1200,0,1
Kriegerlady der Einöde ,Warrior Lady of the Wasteland,Monster,Effekt,Erde,Krieger,4,1100,1200,1
Cyber Erzunterweltler ,Cyber Archfiend,Monster,Effekt,Finsternis,Unterweltler,4,1000,2000,1
Dunkler Skorpion - Meanae der Dorn ,Dark Scorpion - Meanae the Thorn,Monster,Effekt,Finsternis,Krieger,4,1000,1800,1
Wiedergeborener Zombie,Reborn Zombie,Monster,Effekt,Finsternis,Zombie,4,1000,1600,1
Finsterer Katapultierer ,Dark Catapulter,Monster,Effekt,Erde,Maschine,4,1000,1500,3
Mysteriöser Puppenspieler ,Mysterious Puppeteer,Monster,Effekt,Erde,Krieger,4,1000,1500,2
Schicksals-HELD - Fear Monger ,Destiny HERO - Fear Monger,Monster,Effekt,Finsternis,Krieger,4,1000,1000,1
Barrierenstatue des Himmels,Barrier Statue of the Heavens,Monster,Effekt,Licht,Fee,4,1000,1000,1
Barrierenstatue des Abgrunds ,Barrier Statue of the Abyss,Monster,Effekt,Finsternis,Unterweltler,4,1000,1000,1
Maschinenhund Marron ,Mecha-Dog Marron,Monster,Effekt,Licht,Maschine,4,1000,1000,1
Kettendrescher,Chain Thrasher,Monster,Effekt,Wind,Krieger,4,1000,600,1
Majestätischer Mech - Senku ,Majestic Mech - Senku,Monster,Effekt,Licht,Fee,4,1000,500,1
Flammende Hiita ,Blazing Hiita,Monster,Effekt,Feuer,Hexer,4,800,1500,1
Sternenstaub-Spur ,Stardust Trail,Monster,Effekt,Licht,Drache,4,500,2000,5
Fliegender roter Karpfen ,Flying Red Carp,Monster,Effekt,Wasser,Fisch,4,500,500,4
Gunkan-Suschiff Ikura ,Gunkan Suship Ikura,Monster,Effekt,Feuer,Aqua,4,200,300,3
Doitsu ,Doitsu ,Monster,Effekt,Erde,Fee,4,100,200,1
Rote Wache ,Red Gardna,Monster,Effekt,Feuer,Unterweltler,4,0,2000,1
Heroischer Herausforderer - Schwertschild ,Heroic Challenger - Swordshield,Monster,Effekt,Erde,Krieger,4,0,2000,1
Ganbara-Ritter ,Ganbara Knight,Monster,Effekt,Licht,Krieger,4,0,1800,2
Tyranno Infinit ,Tyranno Infinity,Monster,Effekt,Erde,Dinosaurier,4,?,0,3
Maschinenkönig Prototyp ,Machine King Prototype,Monster,Effekt,Erde,Maschine,3,1600,1500,1
Zubaba-Ritter ,Zubaba Knight,Monster,Effekt,Erde,Krieger,3,1600,900,2
Chronomale Maya-Maschine ,Chronomaly Mayan Machine,Monster,Effekt,Erde,Maschine,3,1500,700,3
Atlantischer Angriffstrupp ,Atlantean Attack Squad,Monster,Effekt,Wasser,Seeschlange,3,1400,0,1
Verirrter Asmodian ,Stray Asmodian,Monster,Effekt,Feuer,Unterweltler,3,1300,1700,1
Konohanasakuya ,Konohanasakuya ,Monster,Effekt,Erde,Fee,3,1300,1300,7
Adlerauge ,Eagle Eye,Monster,Effekt,Wind,Geflügeltes Ungeheuer,3,1300,1200,1
Experte für taktische Spionage ,Tactical Espionage Expert,Monster,Effekt,Erde,Krieger,3,1300,1200,1
Mönchkämpfer ,Monk Fighter,Monster,Effekt,Erde,Fels,3,1300,1000,1
Königlicher Ritter ,Royal Knight,Monster,Effekt,Licht,Fee,3,1300,800,1
Bekannter Ritter ,Familiar Knight,Monster,Effekt,Finsternis,Krieger,3,1200,1400,1
Traumclown ,Dream Clown,Monster,Effekt,Erde,Krieger,3,1200,900,5
Sicherungssekretärin ,Backup Secretary,Monster,Effekt,Licht,Cyberse,3,1200,800,1
Teufelsfrosch ,Beelze Frog,Monster,Effekt,Wasser,Aqua,3,1200,800,1
Besessene dunkle Seele ,Possessed Dark Soul,Monster,Effekt,Finsternis,Unterweltler,3,1200,800,1
Scherenkobold ,Edge Imp Sabres,Monster,Effekt,Finsternis,Unterweltler,3,1200,800,1
Plündernder Hauptmann ,Marauding Captain,Monster,Effekt,Erde,Krieger,3,1200,400,3
Totenkopfritter #2 ,Skull Knight #2,Monster,Effekt,Finsternis,Unterweltler,3,1000,1200,1
Gyroid ,Gyroid ,Monster,Effekt,Wind,Maschine,3,1000,1000,2
Suchlichtmann ,Searchlightman,Monster,Effekt,Licht,Maschine,3,1000,1000,1
Cyber Tutu ,Cyber Tutu ,Monster,Effekt,Erde,Krieger,3,1000,800,1
Insektensoldaten des Himmels ,Insect Soldiers of the Sky,Monster,Effekt,Wind,Insekt,3,1000,800,1
Weißer Zauberhut ,White Magical Hat,Monster,Effekt,Licht,Hexer,3,1000,700,1
Überfallraptor - Schädeladler,Raidraptor - Skull Eagle,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,3,1000,500,1
Gusto-Kondor ,Gusto Codor,Monster,Effekt,Wind,Geflügeltes Ungeheuer,3,1000,400,1
Arkaner Bogenschütze des Waldes ,Arcane Archer of the Forest,Monster,Effekt,Erde,Krieger,3,900,1400,1
Pinguinritter ,Penguin Knight,Monster,Effekt,Wasser,Aqua,3,900,800,1
Waldgeist ,Woodland Sprite,Monster,Effekt,Erde,Pflanze,3,900,400,1
Sprenggaukler ,Blast Juggler,Monster,Effekt,Feuer,Maschine,3,800,900,2
"Rallis, der Sternenvogel ",Rallis the Star Bird,Monster,Effekt,Wind,Geflügeltes Ungeheuer,3,800,800,1
Rückkopplungskrieger ,Feedback Warrior,Monster,Effekt,Erde,Krieger,3,800,700,2
Die Liebenden der Prophezeiung ,Amores of Prophecy,Monster,Effekt,Erde,Hexer,3,600,2000,1
Schädelkrake ,Skull Kraken,Monster,Effekt,Finsternis,Aqua,3,600,1600,1
Gusto Vedir ,Gusto Vedir ,Monster,Effekt,Wind,Geflügeltes Ungeheuer,3,600,1000,4
"Wynn, die Windverzaubererin ",Wynn the Wind Charmer,Monster,Effekt,Wind,Hexer,3,500,1500,5
"Eria, die Wasserverzaubererin ",Eria the Water Charmer,Monster,Effekt,Wasser,Hexer,3,500,1500,4
"Aussa, die Erdverzaubererin ",Aussa the Earth Charmer,Monster,Effekt,Erde,Hexer,3,500,1500,5
"Peten, dunkler Clown ",Peten the Dark Clown,Monster,Effekt,Finsternis,Hexer,3,500,1200,1
Fallenmeister ,Trap Master,Monster,Effekt,Erde,Krieger,3,500,1100,2
Ultimatives Baseballkind ,Ultimate Baseball Kid,Monster,Effekt,Feuer,Krieger,3,500,1000,1
Magidolce Miauwaffel ,Madolche Mewfeuille,Monster,Effekt,Erde,Ungeheuer,3,500,300,3
Glänzender Ritter ,Shine Knight,Monster,Effekt,Licht,Krieger,3,400,1900,2
Seelen absorbierender Knochenturm ,Soul-Absorbing Bone Tower,Monster,Effekt,Finsternis,Zombie,3,400,1500,2
"Läufer der Finsternis, Erzunterweltler ",Darkbishop Archfiend,Monster,Effekt,Wasser,Unterweltler,3,300,1400,1
Kauknochen ,Chewbone,Monster,Effekt,Erde,Zombie,3,300,300,3
Kokon der Evolution ,Cocoon of Evolution,Monster,Effekt,Erde,Insekt,3,0,2000,2
Magidolce Mähorn ,Madolche Baaple,Monster,Effekt,Erde,Ungeheuer,3,0,1800,1
